จังหวัด,อำเภอ,ปี,รายการข้อมูล,ประเภทภาษี,รายได้,หน่วยนับ,หน่วยงานเจ้าของข้อมูล
สกลนคร,คำตากล้า,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.083,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,บ้านม่วง,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.158,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,อากาศอำนวย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.166,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,สว่างแดนดิน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.427,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ส่องดาว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.075,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เต่างอย,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.039,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โคกศรีสุพรรณ,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.057,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เจริญศิลป์,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.079,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โพนนาแก้ว,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.012,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ภูพาน,2565, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,อื่น ๆ,0.109,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เมืองสกลนคร,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,91.790,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุสุมาลย์,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,3.970,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุดบาก,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พรรณานิคม,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,8.600,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พังโคน,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,13.660,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วาริชภูมิ,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,9.600,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
