รายการสถิติทางการ,ปี ,อำเภอ,ประเภท,ค่าข้อมูล,หน่วย
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอไชยปราการ,นิติบุคคล,3.592,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่วาง,นิติบุคคล,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่ออน,นิติบุคคล,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยหล่อ,นิติบุคคล,6.436,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอกัลยาณิวัฒนา,นิติบุคคล,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเมืองเชียงใหม่,มูลค่าเพิ่ม,"2,257.50",ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอจอมทอง,มูลค่าเพิ่ม,52.859,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่แจ่ม,มูลค่าเพิ่ม,7.177,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเชียงดาว,มูลค่าเพิ่ม,12.965,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยสะเก็ด,มูลค่าเพิ่ม,118.364,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่แตง,มูลค่าเพิ่ม,100.878,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่ริม,มูลค่าเพิ่ม,194.555,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสะเมิง,มูลค่าเพิ่ม,2.843,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอฝาง,มูลค่าเพิ่ม,107.498,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่อาย,มูลค่าเพิ่ม,6.316,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอพร้าว,มูลค่าเพิ่ม,9.282,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันป่าตอง,มูลค่าเพิ่ม,112.912,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันกำแพง,มูลค่าเพิ่ม,184.721,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสันทราย,มูลค่าเพิ่ม,629.875,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอหางดง,มูลค่าเพิ่ม,200.51,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอฮอด,มูลค่าเพิ่ม,24.187,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยเต่า,มูลค่าเพิ่ม,2.888,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภออมก๋อย,มูลค่าเพิ่ม,2.889,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอสารภี,มูลค่าเพิ่ม,369.255,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอเวียงแหง,มูลค่าเพิ่ม,3.456,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอไชยปราการ,มูลค่าเพิ่ม,9.977,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่วาง,มูลค่าเพิ่ม,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอแม่ออน,มูลค่าเพิ่ม,0,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอดอยหล่อ,มูลค่าเพิ่ม,12.804,ล้านบาท
รายได้จากการจัดเก็บเงินภาษี,2565,อำเภอกัลยาณิวัฒนา,มูลค่าเพิ่ม,0,ล้านบาท
