Year,Province,District,Dataset_Group,Dataset_name,Item,Vlue,Unit,Source,หน่วยงานเจ้าของข้อมูล
2566,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,3030.42,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,10.65,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,53.84,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,5.13,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,264.83,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,516.01,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,570.08,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,0.84,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,5.84,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,0.29,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
