YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2567,เชียงราย,006,ภธ40,54469502.80
2567,เชียงราย,007,อส10,9478647.35
2567,เชียงราย,007,อส10.1,738703.00
2567,เชียงราย,007,อส4,9070462.00
2567,เชียงราย,007,อส4ก,72744.00
2567,เชียงราย,007,อส4ข,7485250.73
2567,เชียงราย,007,อส9,6933869.00
2567,เชียงราย,011,ป2,1692100.00
2567,เชียงราย,015,รบ1,1230.02
2567,เชียงราย,070,ทป3,1838821.70
2567,เชียงราย,070,ภม60,2583596.12
2567,เชียงใหม่,001,ทป3,249395048.29
2567,เชียงใหม่,001,ป2,6154900.00
2567,เชียงใหม่,001,ภงด1,1164221859.01
2567,เชียงใหม่,001,ภงด2,361193718.03
2567,เชียงใหม่,001,ภงด3,524718861.17
2567,เชียงใหม่,001,ภงด90,358425264.81
2567,เชียงใหม่,001,ภงด91,128051944.69
2567,เชียงใหม่,001,ภงด93,1359717.59
2567,เชียงใหม่,001,ภงด94,65803215.21
2567,เชียงใหม่,002,ทป3,73988162.85
2567,เชียงใหม่,002,ป2,4062600.00
2567,เชียงใหม่,002,ภงด50,1109794026.75
2567,เชียงใหม่,002,ภงด51,972661986.94
2567,เชียงใหม่,002,ภงด53,1166740527.79
2567,เชียงใหม่,002,ภงด54,28475953.39
2567,เชียงใหม่,002,ภงด55,4522569.46
2567,เชียงใหม่,005,ทป3,118895546.04
2567,เชียงใหม่,005,ป2,2990600.00
2567,เชียงใหม่,005,ภพ30,5641954546.86
2567,เชียงใหม่,005,ภพ30.2,41969.69
2567,เชียงใหม่,005,ภพ36,144550852.02
2567,เชียงใหม่,006,ทป3,10458855.25
2567,เชียงใหม่,006,ป2,91000.00
2567,เชียงใหม่,006,ภธ40,198906601.61
2567,เชียงใหม่,007,ทป3,11880.00
2567,เชียงใหม่,007,อส10,23029023.17
2567,เชียงใหม่,007,อส10.1,702629.00
2567,เชียงใหม่,007,อส4,27230259.22
2567,เชียงใหม่,007,อส4ก,343506.90
2567,เชียงใหม่,007,อส4ข,15758941.90
2567,เชียงใหม่,007,อส9,21516501.00
2567,เชียงใหม่,010,รบ1,4.00
2567,เชียงใหม่,011,ป2,2170400.00
2567,เชียงใหม่,015,รบ1,0.50
2567,เชียงใหม่,070,ภม60,15126802.52
2567,ตรัง,001,ทป3,39413965.87
2567,ตรัง,001,ป2,955500.00
2567,ตรัง,001,ภงด1,63645786.30
2567,ตรัง,001,ภงด2,57532415.96
2567,ตรัง,001,ภงด3,63681930.67
2567,ตรัง,001,ภงด90,55472800.60
2567,ตรัง,001,ภงด91,27135841.70
2567,ตรัง,001,ภงด93,17864542.64
2567,ตรัง,001,ภงด94,8981505.15
2567,ตรัง,002,ทป3,2991732.60
2567,ตรัง,002,ป2,295700.00
2567,ตรัง,002,ภงด50,135134628.37
2567,ตรัง,002,ภงด51,128575924.89
2567,ตรัง,002,ภงด52,150264.00
2567,ตรัง,002,ภงด53,106269976.12
2567,ตรัง,002,ภงด54,615329.89
2567,ตรัง,002,ภงด55,143799.11
2567,ตรัง,005,ทป3,17496665.31
2567,ตรัง,005,ป2,294600.00
2567,ตรัง,005,ภพ30,665070062.72
2567,ตรัง,005,ภพ36,3818008.40
2567,ตรัง,006,ทป3,1473784.60
2567,ตรัง,006,ป2,14000.00
2567,ตรัง,006,ภธ40,33182567.92
2567,ตรัง,007,อส10,4702560.00
2567,ตรัง,007,อส10.1,61975.00
2567,ตรัง,007,อส4,4024770.00
2567,ตรัง,007,อส4ก,101613.00
2567,ตรัง,007,อส4ข,956686.00
2567,ตรัง,007,อส9,2906656.00
2567,ตรัง,009,รบ1,0.50
2567,ตรัง,010,รบ1,1.00
2567,ตรัง,011,ป2,629700.00
2567,ตรัง,015,รบ1,2973.26
2567,ตราด,001,ทป3,22933037.69
2567,ตราด,001,ป2,863900.00
2567,ตราด,001,ภงด1,33601266.83
2567,ตราด,001,ภงด2,8592485.10
2567,ตราด,001,ภงด3,26674709.42
2567,ตราด,001,ภงด90,37290982.53
2567,ตราด,001,ภงด91,12390938.07
2567,ตราด,001,ภงด93,548611.00
2567,ตราด,001,ภงด94,16520856.94
2567,ตราด,002,ทป3,1139807.42
2567,ตราด,002,ป2,192200.00
2567,ตราด,002,ภงด50,36804417.86
2567,ตราด,002,ภงด51,37110603.68
2567,ตราด,002,ภงด52,240.00
2567,ตราด,002,ภงด53,37318507.48
2567,ตราด,002,ภงด54,2988.96
2567,ตราด,002,ภงด55,95775.53
2567,ตราด,005,ทป3,7669973.68
2567,ตราด,005,ป2,258000.00
2567,ตราด,005,ภพ30,443821661.12
2567,ตราด,005,ภพ30.2,21018.83
2567,ตราด,005,ภพ36,8194306.37
2567,ตราด,006,ทป3,35660.91
2567,ตราด,006,ป2,10200.00
2567,ตราด,006,ภธ40,10929942.96
2567,ตราด,007,อส10,2311801.00
2567,ตราด,007,อส10.1,104569.00
2567,ตราด,007,อส4,467294.36
2567,ตราด,007,อส4ก,16857.00
2567,ตราด,007,อส4ข,277743.53
2567,ตราด,007,อส9,1089728.00
2567,ตราด,011,ป2,353900.00
2567,ตาก,001,ทป3,36009760.34
2567,ตาก,001,ป2,1257000.00
2567,ตาก,001,ภงด1,63130617.64
2567,ตาก,001,ภงด2,40215294.73
2567,ตาก,001,ภงด3,46445271.62
2567,ตาก,001,ภงด90,49703816.76
2567,ตาก,001,ภงด91,19433195.54
2567,ตาก,001,ภงด93,1288291.95
2567,ตาก,001,ภงด94,12253799.81
2567,ตาก,002,ทป3,16615559.64
2567,ตาก,002,ป2,855300.00
2567,ตาก,002,ภงด50,228831063.42
2567,ตาก,002,ภงด51,165386026.00
2567,ตาก,002,ภงด53,112785014.50
2567,ตาก,002,ภงด54,2598674.91
2567,ตาก,002,ภงด55,340707.00
2567,ตาก,005,ทป3,19683459.15
2567,ตาก,005,ป2,342900.00
2567,ตาก,005,ภพ30,782934592.42
2567,ตาก,005,ภพ36,13263167.54
2567,ตาก,006,ทป3,53536.40
2567,ตาก,006,ป2,24600.00
2567,ตาก,006,ภธ40,24181229.28
2567,ตาก,007,ทป3,183095.00
2567,ตาก,007,อส10,4932061.00
2567,ตาก,007,อส10.1,356538.00
2567,ตาก,007,อส4,3800289.23
2567,ตาก,007,อส4ก,35004.90
