YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
2567,12,005,ภพ36,6692584877.47000000
2567,12,070,ภม60,131300559.79000000
2567,12,009,รบ1,1700.00000000
2567,12,010,รบ1,12.50000000
2567,12,015,รบ1,14210.98000000
2567,12,007,อส10,69343953.21000000
2567,12,007,อส10.1,5921407.00000000
2567,12,007,อส4,312837808.62000000
2567,12,007,อส4ก,14037767.48000000
2567,12,007,อส4ข,268011513.12000000
2567,12,007,อส9,117485368.00000000
