ปี,จังหวัด,โค,กระบือ,สุกร
2565,พิษณุโลก,0,1211,123662
2565,พิจิตร,317,54,64073
2565,เพชรบูรณ์,5911,1649,113997
2565,สุโขทัย,292,0,15238
2565,ราชบุรี,15476,0,165732
2565,กาญจนบุรี,9628,4,92230
2565,สุพรรณบุรี,2806,0,92045
2565,นครปฐม,8059,0,3242669
2565,สมุทรสาคร,0,0,55887
2565,สมุทรสงคราม,0,0,0
2565,เพชรบุรี,3560,0,21552
2565,ประจวบคีรีขันธ์,5674,5,90443
2565,นครศรีธรรมราช,6243,0,171211
2565,กระบี่,527,0,131124
2565,พังงา,2000,10,57981
2565,ภูเก็ต,0,0,18353
2565,สุราษฎร์ธานี,50,0,129628
2565,ระนอง,0,0,26550
2565,ชุมพร,255,0,20830
2565,ตรัง,4895,0,78723
2565,พัทลุง,2246,15,241333
2565,สงขลา,6554,0,24195
2565,สตูล,2630,0,16901
2565,ปัตตานี,4063,61,9245
2565,ยะลา,8040,0,38611
2565,นราธิวาส,7004,98,24462
2566,กรุงเทพมหานคร,6123,0,60455
2566,นนทบุรี,3206,0,0
2566,ปทุมธานี,28395,0,463065
2566,พระนครศรีอยุธยา,4118,6,229
2566,อ่างทอง,79,0,62612
2566,ลพบุรี,1060,0,560457
2566,สิงห์บุรี,432,0,26984
2566,ชัยนาท,0,0,3981
2566,สระบุรี,2271,0,320699
2566,สมุทรปราการ,86,0,1088185
2566,ชลบุรี,1293,55,327245
2566,ระยอง,2236,0,228485
2566,จันทบุรี,58,0,223721
2566,ตราด,0,0,34964
2566,ฉะเชิงเทรา,2950,0,634663
2566,ปราจีนบุรี,119,319,141896
2566,นครนายก,0,0,56132
2566,สระแก้ว,1076,749,174677
2566,นครราชสีมา,15428,4068,378372
2566,บุรีรัมย์,1645,100,36429
2566,ศรีสะเกษ,5654,0,78329
2566,สุรินทร์,2342,31,75922
2566,อุบลราชธานี,10647,71,152319
2566,ยโสธร,6916,1,179579
2566,ชัยภูมิ,7057,0,65520
2566,อำนาจเจริญ,3474,268,7104
2566,หนองบัวลำภู,1305,487,135978
2566,ขอนแก่น,7322,668,378465
2566,อุดรธานี,8372,198,95298
2566,เลย,4500,3052,12501
2566,หนองคาย,5974,49,83445
2566,มหาสารคาม,8325,346,33433
2566,ร้อยเอ็ด,12525,0,33864
2566,กาฬสินธุ์,13302,530,53737
2566,นครพนม,38250,4774,200832
2566,มุกดาหาร,12875,60,37297
2566,สกลนคร,17617,1798,49391
2566,บึงกาฬ,3263,1684,27527
2566,เชียงใหม่,2626,3649,799305
2566,ลำพูน,1096,0,293928
2566,ลำปาง,7902,2088,43460
2566,แพร่,1024,3656,68208
2566,น่าน,1919,1696,48265
2566,พะเยา,1941,1040,14402
2566,เชียงราย,6658,7674,302547
2566,แม่ฮ่องสอน,720,318,21091
2566,อุตรดิตถ์,680,1041,54284
2566,นครสวรรค์,532,0,43777
2566,อุทัยธานี,365,787,14282
2566,กำแพงเพชร,2977,155,308112
2566,ตาก,2196,0,101619
2566,พิษณุโลก,0,1214,133994
2566,พิจิตร,218,103,50781
2566,เพชรบูรณ์,6529,2063,107410
2566,สุโขทัย,349,51,74409
2566,ราชบุรี,8214,0,226302
2566,กาญจนบุรี,8374,0,274326
2566,สุพรรณบุรี,3455,0,107183
2566,นครปฐม,7072,0,4363692
2566,สมุทรสาคร,0,0,80565
2566,สมุทรสงคราม,3,0,0
2566,เพชรบุรี,3102,0,21519
2566,ประจวบคีรีขันธ์,3370,0,112194
2566,นครศรีธรรมราช,2505,150,100464
2566,กระบี่,525,0,108989
2566,พังงา,1601,3,34040
2566,ภูเก็ต,0,0,22827
2566,สุราษฎร์ธานี,0,0,127232
2566,ระนอง,0,0,31880
2566,ชุมพร,339,0,26390
2566,ตรัง,0,0,54872
2566,พัทลุง,2989,0,248146
2566,สงขลา,8808,30,57201
2566,สตูล,1993,0,7580
2566,ปัตตานี,3740,35,9968
2566,ยะลา,6516,8,31583
2566,นราธิวาส,6476,599,23432
2567,กรุงเทพมหานคร,5242,2,83555
2567,นนทบุรี,3602,0,0
2567,ปทุมธานี,20207,0,700141
2567,พระนครศรีอยุธยา,3347,208,5
2567,อ่างทอง,300,0,18376
2567,ลพบุรี,2087,0,579624
2567,สิงห์บุรี,430,0,38319
2567,ชัยนาท,0,0,9416
2567,สระบุรี,3940,0,319052
2567,สมุทรปราการ,284,0,1193808
2567,ชลบุรี,2056,45,377481
2567,ระยอง,2711,24,174906
2567,จันทบุรี,414,0,267085
2567,ตราด,0,0,36769
2567,ฉะเชิงเทรา,5253,0,891334
2567,ปราจีนบุรี,466,6,156545
2567,นครนายก,0,0,48421
2567,สระแก้ว,1169,409,200362
2567,นครราชสีมา,7441,325,398467
2567,บุรีรัมย์,3111,499,54136
2567,ศรีสะเกษ,6471,0,182887
2567,สุรินทร์,2844,75,118788
2567,อุบลราชธานี,11798,0,113906
2567,ยโสธร,7606,0,137249
2567,ชัยภูมิ,7894,0,65850
2567,อำนาจเจริญ,3316,203,7326
2567,หนองบัวลำภู,1358,491,137720
2567,ขอนแก่น,6702,518,648186
2567,อุดรธานี,14372,4645,117240
2567,เลย,4411,3120,13265
2567,หนองคาย,5725,112,74969
2567,มหาสารคาม,8869,464,29800
2567,ร้อยเอ็ด,17666,0,37501
2567,กาฬสินธุ์,14450,426,52046
2567,นครพนม,37272,5115,187785
2567,มุกดาหาร,11322,330,33630
2567,สกลนคร,5435,88,50777
2567,บึงกาฬ,3753,1880,40741
2567,เชียงใหม่,1114,2073,973783
2567,ลำพูน,1155,0,385897
2567,ลำปาง,9194,1856,45587
2567,แพร่,812,3142,62409
2567,น่าน,1403,1151,31317
2567,พะเยา,1993,2644,18579
2567,เชียงราย,5809,7431,327781
2567,แม่ฮ่องสอน,426,171,20879
2567,อุตรดิตถ์,963,1054,80172
2567,นครสวรรค์,540,3,43165
2567,อุทัยธานี,328,752,14540
2567,กำแพงเพชร,1292,165,573096
2567,ตาก,2080,127,96601
2567,พิษณุโลก,0,1273,125790
2567,พิจิตร,56,252,48780
2567,เพชรบูรณ์,5202,2095,162219
2567,สุโขทัย,1197,258,102431
2567,ราชบุรี,10619,0,407196
2567,กาญจนบุรี,8322,0,239640
2567,สุพรรณบุรี,4523,0,102195
2567,นครปฐม,10940,0,6242977
2567,สมุทรสาคร,0,0,74650
2567,สมุทรสงคราม,0,0,0
2567,เพชรบุรี,3045,0,19153
2567,ประจวบคีรีขันธ์,6918,0,116999
2567,นครศรีธรรมราช,0,0,65237
2567,กระบี่,496,0,110515
2567,พังงา,1347,46,18660
2567,ภูเก็ต,0,0,24932
2567,สุราษฎร์ธานี,0,0,126467
2567,ระนอง,0,0,31090
2567,ชุมพร,3435,0,31700
2567,ตรัง,0,0,55196
2567,พัทลุง,4646,0,238860
2567,สงขลา,10132,0,60291
2567,สตูล,1535,0,5801
2567,ปัตตานี,3020,2,5551
2567,ยะลา,6003,0,32532
2567,นราธิวาส,6245,13,13055
2568,กรุงเทพมหานคร,7164,93,95230
2568,นนทบุรี,3524,,
2568,ปทุมธานี,11,,799937
2568,พระนครศรีอยุธยา,3557,174,207
2568,อ่างทอง,312,,16638
2568,ลพบุรี,2848,,563283
2568,สิงห์บุรี,348,,24687
2568,ชัยนาท,,,7863
2568,สระบุรี,6478,,285084
2568,สมุทรปราการ,265,,1274573
2568,ชลบุรี,3329,96,392172
2568,ระยอง,2097,6,175839
2568,จันทบุรี,448,,233780
2568,ตราด,,,39268
2568,ฉะเชิงเทรา,5849,,883297
2568,ปราจีนบุรี,475,,193337
2568,นครนายก,,,48664
2568,สระแก้ว,1324,263,255166
2568,นครราชสีมา,10220,185,381319
2568,บุรีรัมย์,4355,483,64568
2568,ศรีสะเกษ,4992,,330785
2568,สุรินทร์,2598,140,130679
2568,อุบลราชธานี,12781,,97709
2568,ยโสธร,7484,,103558
2568,ชัยภูมิ,9337,,60407
2568,อำนาจเจริญ,2810,70,7544
2568,หนองบัวลำภู,1288,449,140133
2568,ขอนแก่น,8682,,791956
2568,อุดรธานี,8530,,111178
2568,เลย,3441,1625,12435
2568,หนองคาย,4027,83,207154
2568,มหาสารคาม,8872,393,27484
2568,ร้อยเอ็ด,20361,,35240
2568,กาฬสินธุ์,10200,228,28228
2568,นครพนม,40655,6866,182556
2568,มุกดาหาร,12763,277,24854
2568,สกลนคร,7452,865,29578
2568,บึงกาฬ,4725,1779,31557
2568,เชียงใหม่,550,2142,976265
2568,ลำพูน,817,,427795
2568,ลำปาง,6190,1361,41665
2568,แพร่,1269,4366,47728
2568,น่าน,1637,649,29096
2568,พะเยา,2674,3909,16927
2568,เชียงราย,6000,7098,295567
2568,แม่ฮ่องสอน,385,181,22739
2568,อุตรดิตถ์,705,706,107119
2568,นครสวรรค์,610,102,51125
2568,อุทัยธานี,227,703,13665
2568,กำแพงเพชร,1137,165,574162
2568,ตาก,2134,316,84942
2568,พิษณุโลก,,1319,134590
2568,พิจิตร,48,291,52046
2568,เพชรบูรณ์,1725,3097,103949
2568,สุโขทัย,2081,265,84319
2568,ราชบุรี,9621,,379920
2568,กาญจนบุรี,8767,,215787
2568,สุพรรณบุรี,4463,,40308
2568,นครปฐม,17400,,6103672
2568,สมุทรสาคร,,,64727
2568,สมุทรสงคราม,,,
2568,เพชรบุรี,3314,,16456
2568,ประจวบคีรีขันธ์,4680,,89189
2568,นครศรีธรรมราช,,,69023
2568,กระบี่,491,,121493
2568,พังงา,493,51,39680
2568,ภูเก็ต,,,42819
2568,สุราษฎร์ธานี,,,130041
2568,ระนอง,,,31170
2568,ชุมพร,2472,,32064
2568,ตรัง,,,55380
2568,พัทลุง,4018,,243622
2568,สงขลา,8325,,42409
2568,สตูล,1451,,5543
2568,ปัตตานี,2102,,8359
2568,ยะลา,6083,,33323
2568,นราธิวาส,5815,18,8163
